issue_number,title,target_labels_found,chosen_final_label,resolution_reason,html_url
118265,nodeIP parameter is not implemented ,bug|feature,bug,conflict_resolved_priority:bug+feature,https://github.com/kubernetes/kubernetes/issues/118265
117501,NotReady node with ContainerGCFailed warning,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/117501
117378,Harden kubernetes TLS certificates ,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/117378
116867,`imagePullPolicy: Always` may pull stale image based off stale image digest resolution,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/116867
116858,Job controller should wait for Pods to be in a terminal phase before considering them failed or succeeded,bug|feature,bug,conflict_resolved_priority:bug+feature,https://github.com/kubernetes/kubernetes/issues/116858
116636,If k8s support update resource on the fly,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/116636
116496,Whether to support the session persistence function at the pod level,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/116496
116495,[dual-stack]support service ipFamilies update event in service controller,bug|feature,bug,conflict_resolved_priority:bug+feature,https://github.com/kubernetes/kubernetes/issues/116495
116085,Custom Pod Security Standards ,feature|question,feature,conflict_resolved_priority:feature+question,https://github.com/kubernetes/kubernetes/issues/116085
115467,The graduation HPA container resource metrics to beta,bug|feature,bug,conflict_resolved_priority:bug+feature,https://github.com/kubernetes/kubernetes/issues/115467
125194,kubelet option ImageMaximumGCAge not accepting value in format day and hour (1d1h),bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/125194
125188,Resource Quotas does not work correctly for services.nodeports,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/125188
123120,K8s can't live without a default route,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/123120
122420,PodSpec.hostAliases has a potentially misleading comment about hostNetwork,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/122420
121853,"Kubernetes 1.26.1: Unexplained Authentication Error, Unexpected Resolution, and Certificate Renewal Quandaries",bug|docs|question,bug,conflict_resolved_priority:bug+docs+question,https://github.com/kubernetes/kubernetes/issues/121853
121265,Can’t get UserNamespacesSupport to work on kubernetes 1.28.1,bug|docs|question,bug,conflict_resolved_priority:bug+docs+question,https://github.com/kubernetes/kubernetes/issues/121265
120486,"(umbrella issue) Define, Deprecate, Roadmap the NodeNetworkUnvailable / NetworkUnavailable:false taints, tolerations, co",bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/120486
120171,Subject: Inaccurate Error Message for StatefulSet Updates in Kubernetes,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/120171
116483,A restart Never static pod does not recreate mirror pod when it is deleted,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/116483
116285,Service publishNotReadyAddresses and EndpointSlices Conditions,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/116285
114839,CHANGELOG.md: Modified the content of the symbol file ,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/114839
114210,"no defined semantics for EndpointSlices of type ""FQDN""",bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/114210
114050,SUPPORT.md should be updated,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/114050
113935,Ephemeral container fails to be created for Static Pod,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/113935
113713,whether related beta apis enabled for those  beta feature gates enabled by k8s 1.24 by default?,docs|question,docs,conflict_resolved_priority:docs+question,https://github.com/kubernetes/kubernetes/issues/113713
111753,log in desired_state_of_world.go seems to be wrong,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/111753
110956,Resource Quota should enforce limits/request on ephemeral storage,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/110956
110667,Installing from yum repo leads to repo signature verification error,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/110667
110383,Can't start Kubelet with error transport: Error while dialing dial unix /var/run/containerd/containerd.sock: connect: no,docs|question,docs,conflict_resolved_priority:docs+question,https://github.com/kubernetes/kubernetes/issues/110383
109210,`StatefulSetStatus` attribute `availableReplicas` set to required by mistake?,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/109210
108940,go1.18: Add metrics for SHA-1 certificates that will be rejected by go1.18,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/108940
108609,Inject schedule name into newly created job,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/108609
108604,kubectl create role command cannot recognize resource rs.extensions,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/108604
108288,Add a new sig-scheduling meeting friendly to APAC timezones,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/108288
107844,Kubeadm/kubeconfig: user should accept a in-cluster kubeadm config,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/107844
107790,The error code for GenerateName conflict shouldn't be 409,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/107790
107008,NetworkPolicySpec field doc is outdated,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/107008
105978,[KEP-2400] Address swap impact on memory-backed volumes,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/105978
105717,Fix Documentation for pod exec default values ,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/105717
105710,kubectl options incorrect --> --skip-headers should be replaced with --no-headers,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/105710
105658,Immutable Secrets are not renewed on recreation of pods,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/105658
105369,kubectl convert plugin can't handle cloud.google.com/v1 BackendConfig,docs|question,docs,conflict_resolved_priority:docs+question,https://github.com/kubernetes/kubernetes/issues/105369
104707,no explanation for metadata filed of NodeMetrics/PodMetrics,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/104707
104638,Kubernetes Service Document Update for AWS,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/104638
104414,"Kubernetes version details are exposed via API even to not authenticated users, what may help potential attacker during ",docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/104414
104241,Documentation snapshots for version prior to `1.17` are served with an invalid certificate,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/104241
104073,Misleading documentation about the supported OIDC signing algorithms ,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/104073
104001,Is there any way to convert my k8s CRD into OpenApi json ?,docs|question,docs,conflict_resolved_priority:docs+question,https://github.com/kubernetes/kubernetes/issues/104001
102841,Container Lifecycle Hooks exit on non-0 exit code,docs|question,docs,conflict_resolved_priority:docs+question,https://github.com/kubernetes/kubernetes/issues/102841
102180,Source for Namespace API reference omits details of .status.phase,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/102180
101298,'Source Code' heading is missing in CHANGELOG-1.xx.md,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/101298
100596,document _output directory,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/100596
100396,Usage of LocalStorageCapacityIsolation feature-gate from cluster operator perspective,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/100396
99608,Container start failed on large cpu machines - cpu-shares gets set larger than the maximum of 262144,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/99608
99076,kubectl-convert is not included in release artifacts,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/99076
98659,Missing performance tests setup information,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/98659
98069,externalTrafficPolicy:Local does not preserve source if client and server is the same POD,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/98069
97256,Provide ServiceAccountTokenProjection migration example,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/97256
96483,Document that disabling `enable-cadvisor-json-endpoints` flag does not disable stats summary endpoint,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/96483
95156,scheduler framework plugins: document how to create a new in-tree plugin,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/95156
94625,Document usage of cloud-controller-manager,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/94625
94013,gcr.io/google-containers and gcr.io/k8s-artifacts-prod don't work anymore,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/94013
93949,Analytics link not working in main README.md,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/93949
93870,Official document PVC part problem,docs|question,docs,conflict_resolved_priority:docs+question,https://github.com/kubernetes/kubernetes/issues/93870
93756,Add admission webhook example,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/93756
92521,consider setting GODEBUG=asyncpreemptoff=1,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/92521
91820,Fresh install on Debian 10 fails with alot of not found in system path,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/91820
91477,pod can not using set env，but the help message said it can,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/91477
91165,EnvVarSource doc was wrong,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/91165
90277,Use allowlist and denylist in public documentation,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/90277
89824,External CA mode fail during kubelet-finalize,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/89824
89651,--replicas has been deprecated,docs|question,docs,conflict_resolved_priority:docs+question,https://github.com/kubernetes/kubernetes/issues/89651
89414,Update bazel to v2.2.0,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/89414
88852,"CSI Volumes marked ""Alpha"", but utilized in beta features",bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/88852
87934,Pod stuck at ContainerCreating status- Unable to attach or mount volumes: unmounted volumes,bug|docs|question,bug,conflict_resolved_priority:bug+docs+question,https://github.com/kubernetes/kubernetes/issues/87934
87683,API Docs for corev1.LimitRangeItem show type as +optional and omitempty,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/87683
85904,Pod fails to download image from private registry,docs|question,docs,conflict_resolved_priority:docs+question,https://github.com/kubernetes/kubernetes/issues/85904
84872,Generate docs for the e2e tests,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/84872
83562,Allow cross-object `--server-dry-run` to make use of earlier resources in multi-object manifest,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/83562
83290,Adding support for _ (underscore) to the configmap metadata.name field,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/83290
81804,Document the use of import-boss,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/81804
80425,Cassandra ENV-VARS MAX_HEAP_SIZE and HEAP_NEWSIZE not passed to the JVM,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/80425
80422,"doc for ""fake-gitserver"" need to be updated",bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/80422
79958,"GKE IAM authorizer can authorize verb=""*"" checks, but not specific verbs",bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/79958
79364,Unclear behavior when setting/updating already existing environment variables like PATH,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/79364
79351,Incorrect max length check on metadata.name,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/79351
78669,"PV created too small for PVC when you use the non-i based units M,G, etc.",bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/78669
77624,Kube Components no longer log to STDERR/STDOUT,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/77624
75812,"The ""1.14 What's New"" ""(No, really, you MUST do this before you upgrade)""link  in CHANGELOG-1.14.md  are ineffective",bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/75812
75554,Docs need to be updated for recent change to default Secret and ConfigMap strategy,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/75554
72320,CrashLoopBackoff Pod cannot be evicted because of PodDisruptionBudget,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/72320
71783,Running 1.13.x kubelet against 1.12.x apiserver errors due to missing volumeMode,docs|question,docs,conflict_resolved_priority:docs+question,https://github.com/kubernetes/kubernetes/issues/71783
65036,SharedInformer documentation is missing or hard to find,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/65036
59501,DELETE requests for some objects get response data with Object instead of Status object,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/59501
59406,Pulling images from AWS ECR with docker credsStore option,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/59406
57098,kube-apiserver auto generated spf13/cobra documentation misses `--v` switch.,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/57098
55838,Missing name field in Pod example in docs,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/55838
52391,Kubernetes Extended Scheduler Json example incorrectly mentioned ,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/52391
50880,auto-generated file cannot be updated when api types changed/updated,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/50880
50868,Documentation about required ports is lacking,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/50868
50270,minor HPA documentation fix,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/50270
49023,API changes devel doc is (very) outdated,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/49023
48650,Update ResourceQuota documentation to reflect priority,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/48650
48649,Write user documentation for priority and preemption,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/48649
47871,Generation and ObservedGeneration should not be optional,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/47871
45506,Document etcd supported versions and supported transitions (matrix?),docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/45506
43743,decent documentation for fresh admins,docs|feature,docs,conflict_resolved_priority:docs+feature,https://github.com/kubernetes/kubernetes/issues/43743
33193,ExecAction htmlpreview docs are misformatted at HEAD,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/33193
28185,kube-apiserver crashes when configured via insecure connection,docs|question,docs,conflict_resolved_priority:docs+question,https://github.com/kubernetes/kubernetes/issues/28185
26513,"How Webhook works, where can find the details? thanks",docs|question,docs,conflict_resolved_priority:docs+question,https://github.com/kubernetes/kubernetes/issues/26513
26202,`kubectl apply deployment -f` doesn't accept label/selector changes,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/26202
25578,Bug in Go client example documentation,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/25578
23875,docs/devel/automation.md: points to nonexistent blunderbuss.yml,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/23875
22621,Kubectl overview web page not rendered properly  ,bug|docs,bug,conflict_resolved_priority:bug+docs,https://github.com/kubernetes/kubernetes/issues/22621
